ROUND;CTSCORE;TSCORE;CTALIVE;TALIVE;CTSTARTROUNDMONEY;TSTARTROUNDMONEY;CTEQUIPVALUE;TEQUIPVALUE;CTSAVEAMOUNT;TSAVEAMOUNT;CTKILLS;TKILLS;CTDEATHS;TDEATHS;CTASSISTS;TASSISTS;PLANTS;DEFUSES
0;0;0;2;1;0;0;2950;3450;0;0;4;3;3;4;2;1;0;0
1;1;0;4;1;18500;8850;13750;5350;2000;0;9;4;4;9;4;1;0;0
2;2;0;5;1;23050;13500;15050;4000;10750;0;13;4;5;14;5;2;0;0
3;3;0;1;1;34050;21800;21300;20500;18000;0;18;8;9;19;7;3;0;0
4;4;0;1;3;48500;17600;24850;13800;5950;0;21;12;13;22;8;3;1;0
5;4;1;1;1;31800;22450;24850;13800;0;15700;25;17;18;26;10;3;1;0
6;4;2;1;3;23000;28500;14200;23350;0;0;27;21;22;28;10;3;1;0
7;4;3;3;0;20600;24200;11700;24300;0;13400;32;24;25;33;12;3;1;1
8;5;3;1;3;28600;24750;25600;18800;7900;0;34;28;29;35;13;3;1;0
9;5;4;1;3;18700;24400;4800;26700;0;14450;36;33;34;37;14;3;1;0
10;5;5;2;0;18600;29550;14850;26300;4950;12850;41;36;37;42;17;3;1;1
11;6;5;2;0;23400;27400;25450;21450;11650;0;45;38;40;47;18;3;1;1
12;7;5;1;3;28200;17850;14600;14550;9300;0;47;42;44;49;19;4;1;0
13;7;6;2;0;24300;21950;13800;24650;0;11950;52;46;48;54;21;4;1;0
14;7;7;1;2;22300;27500;17050;23450;5250;0;55;50;52;57;22;4;1;0
15;8;7;1;2;19000;22600;2850;2300;0;10750;54;59;61;56;4;24;1;0
16;8;8;1;1;9200;20100;4750;11700;0;1050;58;64;66;60;5;25;0;0
17;9;8;1;2;22400;14600;22000;8900;3300;0;62;68;70;64;6;25;1;0
18;9;9;1;4;12500;22650;3250;22600;0;6600;63;73;75;65;6;28;1;0
19;9;10;1;2;17450;24450;11650;20100;0;18400;65;77;80;68;6;30;0;0
20;9;11;1;5;16650;39450;10850;24300;0;10600;65;82;85;68;6;30;0;0
21;9;12;1;2;20100;43750;14400;24300;0;24600;68;87;90;71;7;30;1;0
22;9;13;1;2;22600;57700;21800;21500;0;9500;70;91;95;74;7;30;0;0
23;9;14;1;1;18300;57950;17250;22000;0;11000;74;96;100;78;9;30;0;0
24;10;14;1;1;20100;52050;12750;30500;3900;0;79;100;104;83;9;30;1;0
25;10;15;3;1;11750;37300;10900;23800;0;6200;83;103;107;87;10;31;0;0
26;11;15;1;3;19000;21800;22250;19800;14650;0;86;107;111;90;10;32;1;0
27;11;16;0;3;19000;21800;22250;25600;14650;0;67;108;90;90;6;33;1;0
