ROUND;X;Y;VIEWX;VIEWY;PLAYERID;TEAM
0;-1476;682;268;0;1;0
0;-1588;856;270;0;2;0
0;2903;204;181;0;3;1
0;3114;-160;182;0;4;1
0;-1400;550;270;0;5;0
0;3009;-168;182;0;6;1
0;-1572;722;270;0;7;0
0;3008;148;183;0;8;1
0;3084;127;182;0;9;1
0;-1442;868;270;0;10;0
0;-1476;682;4;3;1;0
0;-1588;856;270;0;2;0
0;2903;204;181;0;3;1
0;3114;-160;182;0;4;1
0;-1400;550;270;0;5;0
0;3009;-168;182;0;6;1
0;-1572;722;270;0;7;0
0;3008;148;183;0;8;1
0;3084;127;182;0;9;1
0;-1442;868;270;0;10;0
0;-1476;682;109;5;1;0
0;-1588;856;270;0;2;0
0;2903;204;181;0;3;1
0;3114;-160;179;359;4;1
0;-1400;550;270;0;5;0
0;3009;-168;176;1;6;1
0;-1572;722;270;0;7;0
0;3008;148;183;0;8;1
0;3084;127;183;358;9;1
0;-1442;868;270;0;10;0
0;-1476;682;104;7;1;0
0;-1588;856;311;5;2;0
0;2903;204;182;0;3;1
0;3114;-160;127;348;4;1
0;-1400;550;270;0;5;0
0;3009;-168;179;359;6;1
0;-1572;722;270;0;7;0
0;3008;148;183;0;8;1
0;3084;127;183;358;9;1
0;-1442;868;270;0;10;0
0;-1476;682;104;7;1;0
0;-1588;856;306;12;2;0
0;2903;204;182;0;3;1
0;3114;-160;133;357;4;1
0;-1400;550;270;0;5;0
0;3009;-168;179;359;6;1
0;-1572;722;270;0;7;0
0;3008;148;183;0;8;1
0;3084;127;183;358;9;1
0;-1442;868;270;0;10;0
0;-1476;682;104;7;1;0
0;-1588;856;303;12;2;0
0;2903;204;182;0;3;1
0;3114;-160;134;357;4;1
0;-1400;550;270;0;5;0
0;3009;-168;179;359;6;1
0;-1572;722;270;0;7;0
0;3008;148;183;0;8;1
0;3084;127;183;358;9;1
0;-1442;868;270;0;10;0
0;-1476;682;197;6;1;0
0;-1588;856;303;12;2;0
0;2903;204;182;0;3;1
0;3114;-160;134;357;4;1
0;-1400;550;270;0;5;0
0;3009;-168;193;2;6;1
0;-1572;722;270;0;7;0
0;3008;148;184;0;8;1
0;3084;127;183;358;9;1
0;-1442;868;270;0;10;0
0;-1476;682;267;4;1;0
0;-1588;856;303;12;2;0
0;2903;204;182;0;3;1
0;3114;-160;134;357;4;1
0;-1400;550;270;0;5;0
0;3009;-168;192;2;6;1
0;-1572;722;270;0;7;0
0;3008;148;184;0;8;1
0;3084;127;183;358;9;1
0;-1442;868;270;0;10;0
0;-1476;682;269;4;1;0
0;-1588;856;303;12;2;0
0;2903;204;182;0;3;1
0;3114;-160;134;357;4;1
0;-1400;550;270;0;5;0
0;3009;-168;192;2;6;1
0;-1572;722;270;0;7;0
0;3008;148;184;0;8;1
0;3084;127;183;358;9;1
0;-1442;868;267;0;10;0
0;-1476;682;269;4;1;0
0;-1588;856;303;12;2;0
0;2903;204;182;0;3;1
0;3114;-160;134;3;4;1
0;-1400;550;270;0;5;0
0;3009;-168;192;2;6;1
0;-1572;722;270;0;7;0
0;3008;148;183;0;8;1
0;3084;127;181;357;9;1
0;-1442;868;265;2;10;0
0;-1476;682;277;8;1;0
0;-1588;856;303;12;2;0
0;2903;204;182;0;3;1
0;3114;-160;135;2;4;1
0;-1400;550;270;0;5;0
0;3009;-168;192;2;6;1
0;-1572;722;270;0;7;0
0;3008;148;184;1;8;1
0;3084;127;214;13;9;1
0;-1442;868;274;359;10;0
0;-1476;682;275;8;1;0
0;-1588;856;303;12;2;0
0;2903;204;223;4;3;1
0;3114;-160;157;3;4;1
0;-1400;550;270;0;5;0
0;3009;-168;192;2;6;1
0;-1572;722;270;0;7;0
0;3008;148;199;3;8;1
0;3084;127;214;13;9;1
0;-1442;868;274;359;10;0
